,Unnamed: 0,peRatio,pegRatio,pbRatio,prRatio,pcfRatio,grossMarginTTM,grossMarginMRQ,netProfitMarginTTM,netProfitMarginMRQ,operatingMarginTTM,operatingMarginMRQ,returnOnEquity,returnOnAssets,returnOnInvestment,currentRatio,totalDebtToCapital,ltDebtToEquity,totalDebtToEquity,revChangeTTM,revChangeIn,sharesOutstanding,marketCapFloat,marketCap,bookValuePerShare
92,CMRE,1.96956,0.065472,0.47552,0.92522,1.49439,70.03948,66.2255,49.79912,73.15498,59.4551,81.99381,26.96046,11.92467,13.03601,2.39812,54.46975,104.8171,119.6342,40.34832,0.0,122685888.0,52.35622,1030.561,9.18403
93,CVLG,5.49264,0.088437,1.32648,0.40937,3.03148,60.57642,63.61003,8.57713,6.1776,9.60194,6.60743,28.01201,14.35164,17.69256,1.47432,24.36379,25.92318,32.21181,6.75438,0.0,10567474.0,7.70539,488.0222,11.54982
94,CVU,4.52,0.0,0.0,0.43428,0.0,13.80856,18.23705,0.0,5.01283,0.05483,6.08702,0.0,0.0,0.0,1.43101,133.2694,0.0,0.0,0.07544,0.0,12566784.0,11.30365,38.03619,0.0
95,CRAI,16.89728,71.644181,3.40679,1.13058,12.68244,30.48656,29.44683,6.90519,5.83467,9.55735,8.95875,20.17591,7.3881,12.64602,1.01779,33.69454,0.0,50.81714,4.85508,5.42779,7026175.0,6.84739,673.1075,3.44051
96,CR,21.39548,0.0,3.7528,2.10079,17.81295,35.06634,36.03622,9.81818,8.43795,14.77641,11.56617,0.0,0.0,0.0,1.33649,25.92617,0.0,35.08033,0.0,0.0,56729142.0,56.15805,4275.108,0.0
97,CRESY,2.54794,0.040639,0.51485,1.14269,2.33043,35.5744,37.72093,45.33998,39.75349,13.74657,9.11395,34.73891,10.58726,18.24931,1.17222,37.4073,85.42497,140.0327,2.40755,32.48298,593354866.0,58.61053,738.024,51.96971
98,CSWI,23.37352,0.424166,4.14331,2.80982,16.62692,41.75846,38.45745,12.18216,9.05882,17.69746,13.50844,18.70986,8.97044,10.19865,2.94705,34.88481,55.33094,55.44341,25.40673,0.0,15474925.0,14.68653,2066.676,11.63571
99,CSX,15.56015,0.9946,5.22531,4.25242,11.05323,71.23333,71.6136,28.35072,26.63249,40.96791,39.50351,33.66523,10.48212,11.15107,1.4455,59.23453,145.3107,145.4,15.42448,0.0,2033054922.0,2012.724,64407.18,2.07785
100,CMI,11.98415,0.374485,3.1288,0.99862,8.76282,23.80068,24.00331,8.51304,9.53508,11.11738,12.1377,27.94175,9.23769,15.12303,1.28894,41.60361,45.81731,80.557,23.96973,8.79022,141561784.0,140.3988,30100.28,7.71287
101,CW,20.31757,0.683542,3.05098,2.38306,14.7694,37.07982,35.09622,11.8135,9.01087,16.79896,12.46156,15.90894,7.34803,8.89832,2.15156,37.44525,59.85997,59.85997,6.48579,0.0,38342932.0,37.96883,6263.701,8.50142
102,CTOS,28.32899,0.209549,1.7428,0.95095,5.86285,24.65172,24.25254,3.37466,3.052,8.04137,8.8216,6.34907,1.92514,2.42685,1.39148,60.79754,154.4124,155.086,13.97909,0.0,246086014.0,207.2249,1577.411,0.0
103,DAC,3.35236,0.0,0.46672,1.24683,2.46084,80.50817,80.07915,37.13403,60.02324,66.75071,63.42303,14.67835,10.12643,10.98203,1.85774,15.38363,14.72,18.18044,27.90961,0.0,20349702.0,10.82524,1255.577,12.455
104,DSKE,12.5,0.0,4.10245,0.14301,1.97607,52.62827,54.97749,2.1517,0.12506,5.25655,2.97649,31.02041,3.23967,4.08761,1.53062,77.40654,300.8273,342.606,6.58191,0.0,45392234.0,37.15412,250.5651,0.0
105,DE,13.45419,0.272111,5.03798,1.94221,10.6649,34.22489,38.0019,14.77211,15.46001,20.69975,23.49036,41.83872,9.54717,14.27736,0.0,71.60795,164.4056,253.4408,24.47474,0.0,296322273.0,295.7,107470.2,17.95866
106,DAL,11.44075,0.041668,3.47231,0.40258,5.35253,44.87804,44.45489,3.51157,0.0,7.53987,0.0,40.99016,2.58166,4.01674,0.47158,77.81636,316.6613,350.7827,53.83498,0.0,642716623.0,639.0908,21736.62,0.0
107,DSX,2.68744,0.0215,0.77307,1.34712,2.49409,72.76452,70.44713,41.06031,33.92378,49.06077,43.87293,25.73357,11.76007,13.02537,1.06838,57.65201,115.5577,136.1387,35.37205,2.56601,102653619.0,74.54438,390.6246,0.0
108,DSGR,59.05237,0.907042,1.71428,0.72929,14.18397,35.88604,38.15172,1.17791,1.6961,3.91682,4.80116,4.43269,2.11465,2.52623,2.88634,41.90805,69.22707,72.1409,187.362,5.90543,21126637.0,18.9994,981.3323,22.48236
109,DLHC,13.17247,0.0,1.33546,0.44617,6.35568,22.54993,21.3032,3.48497,0.80972,7.08764,5.9859,11.56586,3.81781,5.07199,0.89385,65.77391,159.5409,192.1748,0.0,36.67821,13824733.0,11.06924,136.4501,18.28727
110,DLB,33.73568,1.749887,3.39723,6.22963,24.45439,88.37519,89.07955,18.98168,25.50819,21.585,29.05736,9.79381,8.22834,9.16969,4.65779,0.0,0.0,0.0,1.6515,12.23274,59420346.0,58.83416,7965.211,2.29186
111,DCI,21.83953,1.418876,6.3872,2.23269,17.02681,33.11688,34.33539,10.44811,10.38271,13.92009,14.04081,30.91302,14.09101,18.54958,2.32563,34.49259,52.31954,52.6545,10.23053,0.0,121276139.0,121.1617,7633.12,7.27404
112,DOV,18.74765,0.0,4.31164,2.2533,14.22903,36.05655,36.0983,12.24571,10.9943,16.33919,15.13235,23.78059,9.81143,12.63057,1.32185,43.7968,66.3899,77.92583,5.48912,0.0,139851298.0,139.1381,19232.35,1.62229
113,DCO,19.70828,0.0,0.95306,0.69032,8.75743,20.42008,20.29185,3.54962,2.88701,5.03145,3.51673,5.10211,2.63772,3.18944,2.84179,31.71234,45.25648,46.43933,12.04524,0.0,12244451.0,10.91862,504.1041,15.88502
114,DXPE,10.77205,0.099517,1.38179,0.32616,6.3385,28.51727,29.47224,3.35211,4.14362,7.03745,8.34357,14.43356,5.43643,6.84621,2.39968,52.46632,109.2098,110.3772,33.50408,4.42339,17393456.0,15.71086,517.1836,5.9432
115,DY,20.41384,0.102079,3.27097,0.74628,9.92054,17.01992,16.54644,3.73413,2.70408,5.52816,4.69761,17.47841,6.41831,7.94457,3.17895,48.70432,92.9338,94.94817,21.65593,0.0,29355347.0,28.4323,2842.185,4.94981
116,EGLE,3.47813,0.0,0.68182,0.90663,2.23874,56.2152,38.46651,30.9278,3.04378,29.41214,5.31569,26.32227,16.70382,18.72546,1.85346,28.437,33.60182,39.73702,0.0,0.0,13711744.0,12.74363,580.8295,6.55674
117,KODK,7.60295,9.5e-05,0.29255,0.26204,3.95713,15.67477,17.98561,5.19698,11.8705,0.0,1.79856,4.86486,2.75006,3.19588,2.32881,20.13802,25.13747,25.21603,1.53191,0.0,79343371.0,55.61107,312.6129,63.71617
